img21_patch_0   	 TEM_VASOS 
img21_patch_120   	 NAO_TEM_VASOS 
img21_patch_121   	 NAO_TEM_VASOS 
img21_patch_122   	 TEM_VASOS 
img21_patch_123   	 NAO_TEM_VASOS 
img21_patch_124   	 NAO_TEM_VASOS 
img21_patch_125   	 TEM_VASOS 
img21_patch_126   	 TEM_VASOS 
img21_patch_127   	 TEM_VASOS 
img21_patch_128   	 NAO_TEM_VASOS 
img21_patch_129   	 NAO_TEM_VASOS 
img21_patch_130   	 TEM_VASOS 
img21_patch_131   	 TEM_VASOS 
img21_patch_132   	 TEM_VASOS 
img21_patch_133   	 TEM_VASOS 
img21_patch_134   	 NAO_TEM_VASOS 
img21_patch_135   	 TEM_VASOS 
img21_patch_136   	 NAO_TEM_VASOS 
img21_patch_137   	 NAO_TEM_VASOS 
img21_patch_138   	 NAO_TEM_VASOS 
img21_patch_139   	 NAO_TEM_VASOS 
img21_patch_140   	 TEM_VASOS 
img21_patch_141   	 NAO_TEM_VASOS 
img21_patch_142   	 NAO_TEM_VASOS 
img21_patch_143   	 TEM_VASOS 
img21_patch_144   	 NAO_TEM_VASOS 
img21_patch_145   	 NAO_TEM_VASOS 
img21_patch_146   	 TEM_VASOS 
img21_patch_147   	 TEM_VASOS 
img21_patch_148   	 NAO_TEM_VASOS 
img21_patch_149   	 TEM_VASOS 
img21_patch_150   	 TEM_VASOS 
img21_patch_151   	 TEM_VASOS 
img21_patch_152   	 NAO_TEM_VASOS 
img21_patch_153   	 TEM_VASOS 
img21_patch_154   	 NAO_TEM_VASOS 
img21_patch_155   	 NAO_TEM_VASOS 
img21_patch_156   	 NAO_TEM_VASOS 
img21_patch_157   	 NAO_TEM_VASOS 
img21_patch_158   	 NAO_TEM_VASOS 
img21_patch_159   	 NAO_TEM_VASOS 
img21_patch_160   	 TEM_VASOS 
img21_patch_161   	 TEM_VASOS 
img21_patch_162   	 NAO_TEM_VASOS 
img21_patch_163   	 NAO_TEM_VASOS 
img21_patch_164   	 TEM_VASOS 
img21_patch_165   	 TEM_VASOS 
img21_patch_166   	 NAO_TEM_VASOS 
img21_patch_167   	 TEM_VASOS 
img21_patch_168   	 NAO_TEM_VASOS 
img21_patch_169   	 TEM_VASOS 
img21_patch_170   	 NAO_TEM_VASOS 
img21_patch_171   	 NAO_TEM_VASOS 
img21_patch_172   	 TEM_VASOS 
img21_patch_173   	 NAO_TEM_VASOS 
img21_patch_174   	 NAO_TEM_VASOS 
img21_patch_175   	 TEM_VASOS 
img21_patch_176   	 NAO_TEM_VASOS 
img21_patch_177   	 TEM_VASOS 
img21_patch_178   	 NAO_TEM_VASOS 
img21_patch_179   	 TEM_VASOS 
img21_patch_180   	 NAO_TEM_VASOS 
img21_patch_181   	 NAO_TEM_VASOS 
img21_patch_182   	 TEM_VASOS 
img21_patch_183   	 TEM_VASOS 
img21_patch_184   	 NAO_TEM_VASOS 
img21_patch_185   	 TEM_VASOS 
img21_patch_186   	 TEM_VASOS 
img21_patch_187   	 TEM_VASOS 
img21_patch_188   	 NAO_TEM_VASOS 
img21_patch_189   	 NAO_TEM_VASOS 
img21_patch_190   	 TEM_VASOS 
img21_patch_191   	 NAO_TEM_VASOS 
img21_patch_192   	 NAO_TEM_VASOS 
img21_patch_193   	 NAO_TEM_VASOS 
img21_patch_194   	 NAO_TEM_VASOS 
img21_patch_195   	 NAO_TEM_VASOS 
img21_patch_196   	 TEM_VASOS 
img21_patch_197   	 TEM_VASOS 
img21_patch_198   	 TEM_VASOS 
img21_patch_199   	 NAO_TEM_VASOS 
img21_patch_200   	 TEM_VASOS 
img21_patch_201   	 TEM_VASOS 
img21_patch_202   	 TEM_VASOS 
img21_patch_203   	 NAO_TEM_VASOS 
img21_patch_204   	 TEM_VASOS 
img21_patch_205   	 NAO_TEM_VASOS 
img21_patch_206   	 NAO_TEM_VASOS 
img21_patch_207   	 NAO_TEM_VASOS 
img21_patch_208   	 NAO_TEM_VASOS 
img21_patch_209   	 NAO_TEM_VASOS 
img21_patch_210   	 NAO_TEM_VASOS 
img21_patch_211   	 TEM_VASOS 
img21_patch_212   	 TEM_VASOS 
img21_patch_213   	 NAO_TEM_VASOS 
img21_patch_214   	 TEM_VASOS 
img21_patch_215   	 NAO_TEM_VASOS 
img21_patch_216   	 TEM_VASOS 
img21_patch_217   	 TEM_VASOS 
img21_patch_218   	 NAO_TEM_VASOS 
img21_patch_219   	 NAO_TEM_VASOS 
img21_patch_220   	 NAO_TEM_VASOS 
img21_patch_221   	 NAO_TEM_VASOS 
img21_patch_222   	 NAO_TEM_VASOS 
img21_patch_223   	 NAO_TEM_VASOS 
img21_patch_224   	 NAO_TEM_VASOS 
img21_patch_225   	 NAO_TEM_VASOS 
img21_patch_226   	 NAO_TEM_VASOS 
img21_patch_227   	 NAO_TEM_VASOS 
img21_patch_228   	 NAO_TEM_VASOS 
img21_patch_229   	 NAO_TEM_VASOS 
img21_patch_230   	 TEM_VASOS 
img21_patch_231   	 TEM_VASOS 
img21_patch_232   	 TEM_VASOS 
img21_patch_233   	 TEM_VASOS 
img21_patch_234   	 NAO_TEM_VASOS 
img21_patch_235   	 NAO_TEM_VASOS 
img21_patch_236   	 NAO_TEM_VASOS 
img21_patch_237   	 NAO_TEM_VASOS 
img21_patch_238   	 NAO_TEM_VASOS 
img21_patch_239   	 NAO_TEM_VASOS 
img21_patch_240   	 NAO_TEM_VASOS 
img21_patch_241   	 NAO_TEM_VASOS 
img21_patch_242   	 NAO_TEM_VASOS 
img21_patch_243   	 NAO_TEM_VASOS 
img21_patch_244   	 TEM_VASOS 
img21_patch_245   	 NAO_TEM_VASOS 
img21_patch_246   	 TEM_VASOS 
img21_patch_247   	 NAO_TEM_VASOS 
img21_patch_248   	 NAO_TEM_VASOS 
img21_patch_249   	 NAO_TEM_VASOS 
img21_patch_250   	 NAO_TEM_VASOS 
img21_patch_251   	 NAO_TEM_VASOS 
img21_patch_252   	 NAO_TEM_VASOS 
img21_patch_253   	 NAO_TEM_VASOS 
img21_patch_254   	 NAO_TEM_VASOS 
img21_patch_255   	 NAO_TEM_VASOS 
img21_patch_256   	 NAO_TEM_VASOS 
img21_patch_257   	 TEM_VASOS 
img21_patch_258   	 NAO_TEM_VASOS 
img21_patch_259   	 TEM_VASOS 
img21_patch_260   	 NAO_TEM_VASOS 
img21_patch_261   	 NAO_TEM_VASOS 
img21_patch_262   	 NAO_TEM_VASOS 
img21_patch_263   	 NAO_TEM_VASOS 
img21_patch_264   	 NAO_TEM_VASOS 
img21_patch_265   	 NAO_TEM_VASOS 
img21_patch_266   	 NAO_TEM_VASOS 
img21_patch_267   	 NAO_TEM_VASOS 
img21_patch_268   	 NAO_TEM_VASOS 
img21_patch_269   	 NAO_TEM_VASOS 
img21_patch_270   	 NAO_TEM_VASOS 
img22_patch_0   	 NAO_TEM_VASOS 
img22_patch_1   	 NAO_TEM_VASOS 
img22_patch_2   	 NAO_TEM_VASOS 
img22_patch_3   	 NAO_TEM_VASOS 
img22_patch_4   	 NAO_TEM_VASOS 
img22_patch_5   	 NAO_TEM_VASOS 
img22_patch_6   	 NAO_TEM_VASOS 
img22_patch_7   	 TEM_VASOS 
img22_patch_8   	 NAO_TEM_VASOS 
img22_patch_9   	 TEM_VASOS 
img22_patch_10   	 TEM_VASOS 
img22_patch_11   	 NAO_TEM_VASOS 
img22_patch_12   	 NAO_TEM_VASOS 
img22_patch_13   	 NAO_TEM_VASOS 
img22_patch_14   	 NAO_TEM_VASOS 
img22_patch_15   	 NAO_TEM_VASOS 
img22_patch_16   	 TEM_VASOS 
img22_patch_17   	 NAO_TEM_VASOS 
img22_patch_18   	 TEM_VASOS 
img22_patch_19   	 NAO_TEM_VASOS 
img22_patch_20   	 TEM_VASOS 
img22_patch_21   	 NAO_TEM_VASOS 
img22_patch_22   	 NAO_TEM_VASOS 
img22_patch_23   	 NAO_TEM_VASOS 
img22_patch_24   	 NAO_TEM_VASOS 
img22_patch_25   	 TEM_VASOS 
img22_patch_26   	 TEM_VASOS 
img22_patch_27   	 NAO_TEM_VASOS 
img22_patch_28   	 NAO_TEM_VASOS 
img22_patch_29   	 TEM_VASOS 
img22_patch_30   	 NAO_TEM_VASOS 
img22_patch_31   	 TEM_VASOS 
img22_patch_32   	 NAO_TEM_VASOS 
img22_patch_33   	 TEM_VASOS 
img22_patch_34   	 TEM_VASOS 
img22_patch_35   	 NAO_TEM_VASOS 
img22_patch_36   	 NAO_TEM_VASOS 
img22_patch_37   	 NAO_TEM_VASOS 
img22_patch_38   	 NAO_TEM_VASOS 
img22_patch_39   	 TEM_VASOS 
img22_patch_40   	 TEM_VASOS 
img22_patch_41   	 NAO_TEM_VASOS 
img22_patch_42   	 NAO_TEM_VASOS 
img22_patch_43   	 NAO_TEM_VASOS 
img22_patch_44   	 TEM_VASOS 
img22_patch_45   	 TEM_VASOS 
img22_patch_46   	 TEM_VASOS 
img22_patch_47   	 TEM_VASOS 
img22_patch_48   	 NAO_TEM_VASOS 
img22_patch_49   	 NAO_TEM_VASOS 
img22_patch_50   	 NAO_TEM_VASOS 
img22_patch_51   	 NAO_TEM_VASOS 
img22_patch_52   	 NAO_TEM_VASOS 
img22_patch_53   	 NAO_TEM_VASOS 
img22_patch_54   	 TEM_VASOS 
img22_patch_55   	 NAO_TEM_VASOS 
img22_patch_56   	 TEM_VASOS 
img22_patch_57   	 TEM_VASOS 
img22_patch_58   	 TEM_VASOS 
img22_patch_59   	 NAO_TEM_VASOS 
img22_patch_60   	 NAO_TEM_VASOS 
img22_patch_61   	 TEM_VASOS 
img22_patch_62   	 NAO_TEM_VASOS 
img22_patch_63   	 TEM_VASOS 
img22_patch_64   	 TEM_VASOS 
img22_patch_65   	 NAO_TEM_VASOS 
img22_patch_66   	 NAO_TEM_VASOS 
img22_patch_67   	 TEM_VASOS 
img22_patch_68   	 TEM_VASOS 
img22_patch_69   	 TEM_VASOS 
img22_patch_70   	 TEM_VASOS 
img22_patch_71   	 NAO_TEM_VASOS 
img22_patch_72   	 TEM_VASOS 
img22_patch_73   	 NAO_TEM_VASOS 
img22_patch_74   	 NAO_TEM_VASOS 
img22_patch_75   	 TEM_VASOS 
img22_patch_76   	 NAO_TEM_VASOS 
img22_patch_77   	 NAO_TEM_VASOS 
img22_patch_78   	 TEM_VASOS 
img22_patch_79   	 NAO_TEM_VASOS 
img22_patch_80   	 TEM_VASOS 
img22_patch_81   	 NAO_TEM_VASOS 
img22_patch_82   	 NAO_TEM_VASOS 
img22_patch_83   	 NAO_TEM_VASOS 
img22_patch_84   	 NAO_TEM_VASOS 
img22_patch_85   	 NAO_TEM_VASOS 
img22_patch_86   	 TEM_VASOS 
img22_patch_87   	 TEM_VASOS 
img22_patch_88   	 TEM_VASOS 
img22_patch_89   	 NAO_TEM_VASOS 
img22_patch_90   	 NAO_TEM_VASOS 
img22_patch_91   	 NAO_TEM_VASOS 
img22_patch_92   	 NAO_TEM_VASOS 
img22_patch_93   	 TEM_VASOS 
img22_patch_94   	 NAO_TEM_VASOS 
img22_patch_95   	 TEM_VASOS 
img22_patch_96   	 TEM_VASOS 
img22_patch_97   	 NAO_TEM_VASOS 
img22_patch_98   	 TEM_VASOS 
img22_patch_99   	 NAO_TEM_VASOS 
img22_patch_100   	 NAO_TEM_VASOS 
img22_patch_101   	 NAO_TEM_VASOS 
img22_patch_102   	 NAO_TEM_VASOS 
img22_patch_103   	 NAO_TEM_VASOS 
img22_patch_104   	 NAO_TEM_VASOS 
img22_patch_105   	 TEM_VASOS 
img22_patch_106   	 TEM_VASOS 
img22_patch_107   	 TEM_VASOS 
img22_patch_108   	 NAO_TEM_VASOS 
img22_patch_109   	 NAO_TEM_VASOS 
img22_patch_110   	 NAO_TEM_VASOS 
img22_patch_111   	 TEM_VASOS 
img22_patch_112   	 TEM_VASOS 
img22_patch_113   	 TEM_VASOS 
img22_patch_114   	 TEM_VASOS 
img22_patch_115   	 TEM_VASOS 
img22_patch_116   	 TEM_VASOS 
img22_patch_117   	 NAO_TEM_VASOS 
img22_patch_118   	 NAO_TEM_VASOS 
img22_patch_119   	 NAO_TEM_VASOS 
img22_patch_120   	 TEM_VASOS 
img22_patch_121   	 NAO_TEM_VASOS 
img22_patch_122   	 TEM_VASOS 
img22_patch_123   	 TEM_VASOS 
img22_patch_124   	 NAO_TEM_VASOS 
img22_patch_125   	 TEM_VASOS 
img22_patch_126   	 TEM_VASOS 
img22_patch_127   	 TEM_VASOS 
img22_patch_128   	 NAO_TEM_VASOS 
img22_patch_129   	 TEM_VASOS 
img22_patch_130   	 NAO_TEM_VASOS 
img22_patch_131   	 TEM_VASOS 
img22_patch_132   	 TEM_VASOS 
img22_patch_133   	 NAO_TEM_VASOS 
img22_patch_134   	 TEM_VASOS 
img22_patch_135   	 TEM_VASOS 
img22_patch_136   	 NAO_TEM_VASOS 
img22_patch_137   	 NAO_TEM_VASOS 
img22_patch_138   	 NAO_TEM_VASOS 
img22_patch_139   	 NAO_TEM_VASOS 
img22_patch_140   	 TEM_VASOS 
img22_patch_141   	 TEM_VASOS 
img22_patch_142   	 TEM_VASOS 
img22_patch_143   	 TEM_VASOS 
img22_patch_144   	 TEM_VASOS 
img22_patch_145   	 NAO_TEM_VASOS 
img22_patch_146   	 NAO_TEM_VASOS 
img22_patch_147   	 TEM_VASOS 
img22_patch_148   	 TEM_VASOS 
img22_patch_149   	 NAO_TEM_VASOS 
img22_patch_150   	 TEM_VASOS 
img22_patch_151   	 TEM_VASOS 
img22_patch_152   	 TEM_VASOS 
img22_patch_153   	 TEM_VASOS 
img22_patch_154   	 NAO_TEM_VASOS 
img22_patch_155   	 NAO_TEM_VASOS 
img22_patch_156   	 NAO_TEM_VASOS 
img22_patch_157   	 NAO_TEM_VASOS 
img22_patch_158   	 NAO_TEM_VASOS 
img22_patch_159   	 NAO_TEM_VASOS 
img22_patch_160   	 TEM_VASOS 
img22_patch_161   	 TEM_VASOS 
img22_patch_162   	 TEM_VASOS 
img22_patch_163   	 TEM_VASOS 
img22_patch_164   	 NAO_TEM_VASOS 
img22_patch_165   	 NAO_TEM_VASOS 
img22_patch_166   	 TEM_VASOS 
img22_patch_167   	 NAO_TEM_VASOS 
img22_patch_168   	 NAO_TEM_VASOS 
img22_patch_169   	 TEM_VASOS 
img22_patch_170   	 TEM_VASOS 
img22_patch_171   	 NAO_TEM_VASOS 
img22_patch_172   	 NAO_TEM_VASOS 
img22_patch_173   	 TEM_VASOS 
img22_patch_174   	 NAO_TEM_VASOS 
img22_patch_175   	 NAO_TEM_VASOS 
img22_patch_176   	 TEM_VASOS 
img22_patch_177   	 TEM_VASOS 
img22_patch_178   	 NAO_TEM_VASOS 
img22_patch_179   	 TEM_VASOS 
img22_patch_180   	 TEM_VASOS 
img22_patch_181   	 NAO_TEM_VASOS 
img22_patch_182   	 TEM_VASOS 
img22_patch_183   	 NAO_TEM_VASOS 
img22_patch_184   	 TEM_VASOS 
img22_patch_185   	 TEM_VASOS 
img22_patch_186   	 NAO_TEM_VASOS 
img22_patch_187   	 TEM_VASOS 
img22_patch_188   	 TEM_VASOS 
img22_patch_189   	 NAO_TEM_VASOS 
img22_patch_190   	 NAO_TEM_VASOS 
img22_patch_191   	 TEM_VASOS 
img22_patch_192   	 NAO_TEM_VASOS 
img22_patch_193   	 NAO_TEM_VASOS 
img22_patch_194   	 TEM_VASOS 
img22_patch_195   	 TEM_VASOS 
img22_patch_196   	 NAO_TEM_VASOS 
img22_patch_197   	 TEM_VASOS 
img22_patch_198   	 TEM_VASOS 
img22_patch_199   	 TEM_VASOS 
img22_patch_200   	 NAO_TEM_VASOS 
img22_patch_201   	 TEM_VASOS 
img22_patch_202   	 TEM_VASOS 
img22_patch_203   	 TEM_VASOS 
img22_patch_204   	 TEM_VASOS 
img22_patch_205   	 TEM_VASOS 
img22_patch_206   	 TEM_VASOS 
img22_patch_207   	 TEM_VASOS 
img22_patch_208   	 NAO_TEM_VASOS 
img22_patch_209   	 NAO_TEM_VASOS 
img22_patch_210   	 TEM_VASOS 
img22_patch_211   	 TEM_VASOS 
img22_patch_212   	 TEM_VASOS 
img22_patch_213   	 NAO_TEM_VASOS 
img22_patch_214   	 TEM_VASOS 
img22_patch_215   	 TEM_VASOS 
img22_patch_216   	 NAO_TEM_VASOS 
img22_patch_217   	 NAO_TEM_VASOS 
img22_patch_218   	 NAO_TEM_VASOS 
img22_patch_219   	 TEM_VASOS 
img22_patch_220   	 TEM_VASOS 
img22_patch_221   	 TEM_VASOS 
img22_patch_222   	 NAO_TEM_VASOS 
img22_patch_223   	 TEM_VASOS 
img22_patch_224   	 TEM_VASOS 
img22_patch_225   	 NAO_TEM_VASOS 
img22_patch_226   	 TEM_VASOS 
img22_patch_227   	 NAO_TEM_VASOS 
img22_patch_228   	 TEM_VASOS 
img22_patch_229   	 TEM_VASOS 
img22_patch_230   	 TEM_VASOS 
img22_patch_231   	 NAO_TEM_VASOS 
img22_patch_232   	 NAO_TEM_VASOS 
img22_patch_233   	 NAO_TEM_VASOS 
img22_patch_234   	 NAO_TEM_VASOS 
img22_patch_235   	 NAO_TEM_VASOS 
img22_patch_236   	 TEM_VASOS 
img22_patch_237   	 TEM_VASOS 
img22_patch_238   	 TEM_VASOS 
img22_patch_239   	 TEM_VASOS 
img22_patch_240   	 TEM_VASOS 
img22_patch_241   	 TEM_VASOS 
img22_patch_242   	 TEM_VASOS 
img22_patch_243   	 NAO_TEM_VASOS 
img22_patch_244   	 TEM_VASOS 
img22_patch_245   	 TEM_VASOS 
img22_patch_246   	 NAO_TEM_VASOS 
img22_patch_247   	 TEM_VASOS 
img22_patch_248   	 TEM_VASOS 
img22_patch_249   	 TEM_VASOS 
img22_patch_250   	 TEM_VASOS 
img22_patch_251   	 TEM_VASOS 
img22_patch_252   	 TEM_VASOS 
img22_patch_253   	 TEM_VASOS 
img22_patch_254   	 TEM_VASOS 
img22_patch_255   	 TEM_VASOS 
img22_patch_256   	 NAO_TEM_VASOS 
img22_patch_257   	 TEM_VASOS 
img22_patch_258   	 TEM_VASOS 
img22_patch_259   	 NAO_TEM_VASOS 
img22_patch_260   	 NAO_TEM_VASOS 
img22_patch_261   	 TEM_VASOS 
img22_patch_262   	 TEM_VASOS 
img22_patch_263   	 TEM_VASOS 
img22_patch_264   	 TEM_VASOS 
img22_patch_265   	 TEM_VASOS 
img22_patch_266   	 TEM_VASOS 
img22_patch_267   	 TEM_VASOS 
img22_patch_268   	 TEM_VASOS 
img22_patch_269   	 TEM_VASOS 
img22_patch_270   	 TEM_VASOS 
img22_patch_271   	 TEM_VASOS 
img22_patch_272   	 NAO_TEM_VASOS 
img22_patch_273   	 NAO_TEM_VASOS 
img22_patch_274   	 TEM_VASOS 
img23_patch_0   	 NAO_TEM_VASOS 
img23_patch_1   	 NAO_TEM_VASOS 
img23_patch_2   	 NAO_TEM_VASOS 
img23_patch_3   	 NAO_TEM_VASOS 
img23_patch_4   	 TEM_VASOS 
img23_patch_5   	 NAO_TEM_VASOS 
img23_patch_6   	 NAO_TEM_VASOS 
img23_patch_7   	 NAO_TEM_VASOS 
img23_patch_8   	 NAO_TEM_VASOS 
img23_patch_9   	 NAO_TEM_VASOS 
img23_patch_10   	 NAO_TEM_VASOS 
img23_patch_11   	 NAO_TEM_VASOS 
img23_patch_12   	 NAO_TEM_VASOS 
img23_patch_13   	 NAO_TEM_VASOS 
img23_patch_14   	 NAO_TEM_VASOS 
img23_patch_15   	 NAO_TEM_VASOS 
img23_patch_16   	 TEM_VASOS 
img23_patch_17   	 NAO_TEM_VASOS 
img23_patch_18   	 NAO_TEM_VASOS 
img23_patch_19   	 NAO_TEM_VASOS 
img23_patch_20   	 NAO_TEM_VASOS 
img23_patch_21   	 NAO_TEM_VASOS 
img23_patch_22   	 NAO_TEM_VASOS 
img23_patch_23   	 NAO_TEM_VASOS 
img23_patch_24   	 TEM_VASOS 
img23_patch_25   	 NAO_TEM_VASOS 
img23_patch_26   	 NAO_TEM_VASOS 
img23_patch_27   	 NAO_TEM_VASOS 
img23_patch_28   	 NAO_TEM_VASOS 
img23_patch_29   	 TEM_VASOS 
img23_patch_30   	 NAO_TEM_VASOS 
img23_patch_31   	 NAO_TEM_VASOS 
img23_patch_32   	 NAO_TEM_VASOS 
img23_patch_33   	 NAO_TEM_VASOS 
img23_patch_34   	 NAO_TEM_VASOS 
img23_patch_35   	 NAO_TEM_VASOS 
img23_patch_36   	 NAO_TEM_VASOS 
img23_patch_37   	 TEM_VASOS 
img23_patch_38   	 NAO_TEM_VASOS 
img23_patch_39   	 NAO_TEM_VASOS 
img23_patch_40   	 TEM_VASOS 
img23_patch_41   	 NAO_TEM_VASOS 
img23_patch_42   	 NAO_TEM_VASOS 
img23_patch_43   	 NAO_TEM_VASOS 
img23_patch_44   	 TEM_VASOS 
img23_patch_45   	 NAO_TEM_VASOS 
img23_patch_46   	 NAO_TEM_VASOS 
img23_patch_47   	 TEM_VASOS 
img23_patch_48   	 NAO_TEM_VASOS 
img23_patch_49   	 NAO_TEM_VASOS 
img23_patch_50   	 NAO_TEM_VASOS 
img23_patch_51   	 NAO_TEM_VASOS 
img23_patch_52   	 TEM_VASOS 
img23_patch_53   	 NAO_TEM_VASOS 
img23_patch_54   	 NAO_TEM_VASOS 
img23_patch_55   	 TEM_VASOS 
img23_patch_56   	 NAO_TEM_VASOS 
img23_patch_57   	 NAO_TEM_VASOS 
img23_patch_58   	 TEM_VASOS 
img23_patch_59   	 TEM_VASOS 
img23_patch_60   	 TEM_VASOS 
img23_patch_61   	 NAO_TEM_VASOS 
img23_patch_62   	 NAO_TEM_VASOS 
img23_patch_63   	 TEM_VASOS 
img23_patch_64   	 NAO_TEM_VASOS 
img23_patch_65   	 NAO_TEM_VASOS 
img23_patch_66   	 NAO_TEM_VASOS 
img23_patch_67   	 NAO_TEM_VASOS 
img23_patch_68   	 TEM_VASOS 
img23_patch_69   	 NAO_TEM_VASOS 
img23_patch_70   	 TEM_VASOS 
img23_patch_71   	 TEM_VASOS 
img23_patch_72   	 TEM_VASOS 
img23_patch_73   	 TEM_VASOS 
img23_patch_74   	 NAO_TEM_VASOS 
img23_patch_75   	 NAO_TEM_VASOS 
img23_patch_76   	 TEM_VASOS 
img23_patch_77   	 TEM_VASOS 
img23_patch_78   	 NAO_TEM_VASOS 
img23_patch_79   	 NAO_TEM_VASOS 
img23_patch_80   	 TEM_VASOS 
img23_patch_81   	 NAO_TEM_VASOS 
img23_patch_82   	 NAO_TEM_VASOS 
